district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Newton County School 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/newton-county-school/,newton-county-school,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-04,2025-08-04,2026-05-22,2025-2026,2026-03-08
Norfolk Public Schools 2025-2026 Holidays PDF,Virginia,https://schoolcalendarinfo.com/norfolk-public-schools/,norfolk-public-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-29,2025-08-18,2025-08-18,2026-05-29,2025-2026,2026-03-08
North East Independent School District 2025-2026 PDF,Texas,https://schoolcalendarinfo.com/north-east-independent-school-district-calendar-2022-2023-pdf/,north-east-independent-school-district-calendar-2022-2023-pdf,,,2025-12-22,2026-01-05,2026-05-29,2025-08-11,2025-08-11,2026-05-29,2025-2026,2026-03-08
North Olmsted City Schools 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/north-olmsted-city-schools/,north-olmsted-city-schools,2026-04-03,2026-04-10,2025-12-19,2026-01-02,2026-06-02,2025-08-21,2025-08-21,2026-06-02,2025-2026,2026-03-08
North Penn School District 2025-2026 in PDF,,https://schoolcalendarinfo.com/north-penn-school-district/,north-penn-school-district,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-12,2025-08-27,2025-08-27,2026-06-12,2025-2026,2026-03-08
Northshore School District 2025-2026 in PDF,Washington,https://schoolcalendarinfo.com/northshore-school-district/,northshore-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-17,2025-09-03,2025-09-03,2026-06-17,2025-2026,2026-03-08
Northside Independent School District 2025-2026 PDF,Texas,https://schoolcalendarinfo.com/northside-independent-school-district/,northside-independent-school-district,2026-03-09,2026-03-13,2025-12-22,2026-01-05,2026-05-21,2025-08-11,2025-08-11,2026-05-21,2025-2026,2026-03-08
Norwich Public Schools 2026-2027 in PDF,Connecticut,https://schoolcalendarinfo.com/norwich-public-schools/,norwich-public-schools,2026-04-13,2026-04-17,2025-12-24,2026-01-02,2026-06-12,2025-08-28,2025-08-28,2026-06-12,2025-2026,2026-03-08
Novi Community School District 2025-2026 in PDF,Michigan,https://schoolcalendarinfo.com/novi-community-school-district/,novi-community-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Oakdale Joint Unified School District 2025-2026,California,https://schoolcalendarinfo.com/oakdale-joint-unified-school-district/,oakdale-joint-unified-school-district,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-05-21,2025-08-06,2025-08-06,2026-05-21,2025-2026,2026-03-08
